,Rank,school_name,Earnings per Dollar (Cost)
990,257,Northampton County Area Community College,2.36
1694,258,Dalton State College,2.36
1196,259,Pasco-Hernando State College,2.36
2057,260,Community College of Beaver County,2.35
332,261,State Technical College of Missouri,2.35
422,262,Rowan College at Gloucester County,2.35
1794,263,Dodge City Community College,2.35
1259,264,Parkland College,2.35
2098,265,El Centro College,2.34
897,266,Florida State College at Jacksonville,2.34
1553,267,Fullerton College,2.34
1086,268,Laredo Community College,2.34
2035,269,Truckee Meadows Community College,2.34
63,270,Scottsdale Community College,2.34
504,271,Oklahoma City Community College,2.33
2232,272,North Seattle College,2.33
460,273,Nassau Community College,2.33
1834,274,CUNY Hunter College,2.33
2171,275,Chippewa Valley Technical College,2.33
198,276,John C Calhoun State Community College,2.32
1082,277,Temple College,2.32
1128,278,Spokane Community College,2.32
1373,279,College of Southern Nevada,2.32
1090,280,Mountain View College,2.32
2246,281,Blinn College,2.32
1859,282,CUNY Queensborough Community College,2.32
1562,283,Chabot College,2.32
2237,284,Central Virginia Community College,2.32
327,285,Jefferson College,2.32
2241,286,Northern Virginia Community College,2.32
800,287,Glendale Community College,2.31
2240,288,Angelina College,2.31
408,289,Northeastern State University,2.31
1921,290,Clark State Community College,2.31
1646,291,Colorado School of Mines,2.3
1592,292,William Rainey Harper College,2.3
1308,293,Bunker Hill Community College,2.3
563,294,Bowling Green State University-Firelands,2.3
2202,295,Paradise Valley Community College,2.3
302,296,Century College,2.3
417,297,New Mexico Institute of Mining and Technology,2.29
1092,298,Lee College,2.29
2223,299,Weatherford College,2.29
1087,300,Midwestern State University,2.29
1115,301,Tidewater Community College,2.29
477,302,SOWELA Technical Community College,2.29
134,303,College of San Mateo,2.29
1808,304,University of Michigan-Dearborn,2.29
1130,305,Pierce College-Fort Steilacoom,2.29
262,306,Mid Michigan Community College,2.28
1981,307,Community College of Rhode Island,2.28
799,308,Snead State Community College,2.28
1207,309,University of Hawaii Maui College,2.28
424,310,Rowan College at Burlington County,2.28
611,311,Brigham Young University-Provo,2.28
107,312,Adventist University of Health Sciences,2.28
109,313,Metropolitan State University of Denver,2.28
1131,314,Olympic College,2.28
1620,315,Illinois Valley Community College,2.27
622,316,Northeast Wisconsin Technical College,2.27
73,317,College of the Canyons,2.27
1568,318,North Arkansas College,2.27
242,319,Butler Community College,2.27
1904,320,Kent State University at Geauga,2.27
660,321,Howard College,2.26
1106,322,Rappahannock Community College,2.26
1120,323,West Virginia University Institute of Technology,2.26
1894,324,SUNY Westchester Community College,2.26
1031,325,El Paso Community College,2.26
2256,326,Estrella Mountain Community College,2.26
260,327,Macomb Community College,2.26
1967,328,Western Oklahoma State College,2.26
194,329,Wiregrass Georgia Technical College,2.26
1665,330,Housatonic Community College,2.26
1355,331,Washtenaw Community College,2.25
2151,332,Richland College,2.25
1726,333,Northwestern Connecticut Community College,2.25
781,334,The Community College of Baltimore County,2.25
2173,335,Waukesha County Technical College,2.25
1734,336,Pittsburg State University,2.25
705,337,Texas A&M University-Texarkana,2.24
1835,338,CUNY John Jay College of Criminal Justice,2.24
2041,339,Mississippi Delta Community College,2.24
995,340,Carl Albert State College,2.24
1565,341,Coastline Community College,2.24
499,342,East Central University,2.24
917,343,Kent State University at Stark,2.24
61,344,Mesa Community College,2.24
925,345,Ohio University-Lancaster Campus,2.24
2228,346,Walla Walla Community College,2.24
1403,347,Jefferson Community College,2.23
976,348,Portland Community College,2.23
2155,349,Georgia State University-Perimeter College,2.23
906,350,Rio Hondo College,2.23
801,351,Cochise County Community College District,2.23
1722,352,North Georgia Technical College,2.23
1297,353,Howard Community College,2.23
104,354,Eastern Florida State College,2.23
1367,355,Brookdale Community College,2.22
1146,356,University of Wisconsin-Platteville,2.22
271,357,Richland Community College,2.22
391,358,Ohio University-Southern Campus,2.22
582,359,Columbia State Community College,2.22
113,360,Gateway Community College,2.22
472,361,Madisonville Community College,2.22
775,362,Cascadia College,2.22
2205,363,NorthWest Arkansas Community College,2.22
1186,364,College of DuPage,2.22
1828,365,Holmes Community College,2.22
2097,366,Eastfield College,2.22
1078,367,Texas A & M University-College Station,2.22
254,368,Northern Essex Community College,2.21
126,369,San Diego Miramar College,2.21
303,370,Jones County Junior College,2.21
655,371,Sheridan College,2.21
174,372,Highland Community College,2.21
1725,373,South Florida State College,2.21
421,374,Bergen Community College,2.2
2200,375,Southwest Wisconsin Technical College,2.2
1692,376,East Georgia State College,2.2
1362,377,East Central Community College,2.2
620,378,Western Technical College,2.2
667,379,Clarendon College,2.2
1125,380,West Virginia Northern Community College,2.2
428,381,SUNY Broome Community College,2.2
390,382,Ohio University-Chillicothe Campus,2.2
2101,383,Texas A & M International University,2.19
2028,384,Metropolitan Community College Area,2.19
481,385,Kankakee Community College,2.19
1837,386,CUNY Brooklyn College,2.19
671,387,Blue Ridge Community College,2.19
724,388,Walters State Community College,2.19
574,389,Nashville State Community College,2.19
1298,390,Lansing Community College,2.19
1924,391,Fayetteville Technical Community College,2.19
1289,392,Gateway Community and Technical College,2.19
154,393,Valencia College,2.18
1323,394,Quincy College,2.18
1396,395,University of New Mexico-Gallup Campus,2.18
1129,396,Clark College,2.18
645,397,Southern West Virginia Community and Technical College,2.18
2164,398,Highline College,2.18
867,399,Merced College,2.18
1938,400,Edison State Community College,2.18
1361,401,Ridgewater College,2.18
1459,402,Metropolitan State University,2.18
410,403,New Mexico State University-Dona Ana,2.18
969,404,Rose State College,2.17
1839,405,CUNY City College,2.17
1155,406,Moraine Park Technical College,2.17
845,407,Palomar College,2.17
95,408,College of Alameda,2.17
1965,409,Southeastern Oklahoma State University,2.17
1425,410,Rockland Community College,2.17
1049,411,Southeast Technical Institute,2.17
1785,412,Southcentral Kentucky Community and Technical College,2.17
1085,413,Panola College,2.16
670,414,Virginia Western Community College,2.16
1970,415,Midlands Technical College,2.16
909,416,University of Akron Wayne College,2.16
1826,417,East Mississippi Community College,2.16
344,418,Bellevue University,2.16
1168,419,Owensboro Community and Technical College,2.16
1521,420,California State University-Los Angeles,2.16
841,421,Aims Community College,2.15
1409,422,CUNY York College,2.15
787,423,Embry-Riddle Aeronautical University-Worldwide,2.15
703,424,University of Houston-Victoria,2.15
1157,425,Whatcom Community College,2.15
1690,426,Darton State College,2.15
150,427,Santa Fe College,2.15
1777,428,McNeese State University,2.15
1720,429,Windward Community College,2.15
326,430,Great Basin College,2.15
2169,431,University of Wisconsin-Whitewater,2.15
311,432,Ozarks Technical Community College,2.14
1688,433,West Georgia Technical College,2.14
1401,434,Genesee Community College,2.14
1709,435,Wilmington University,2.14
1189,436,City Colleges of Chicago-Harold Washington College,2.14
543,437,Lenoir Community College,2.14
183,438,Georgia Northwestern Technical College,2.14
1740,439,North Shore Community College,2.13
1983,440,Rhode Island College,2.13
1934,441,Durham Technical Community College,2.13
1335,442,Michigan Technological University,2.13
826,443,Southeast Arkansas College,2.13
952,444,Elizabeth City State University,2.13
2165,445,Edmonds Community College,2.13
277,446,Central Maine Community College,2.13
278,447,Eastern Maine Community College,2.13
2186,448,Mid-State Technical College,2.13
438,449,Hudson Valley Community College,2.13
1647,450,University of Colorado Denver/Anschutz Medical Campus,2.13
1918,451,University of Cincinnati-Blue Ash College,2.12
149,452,St Petersburg College,2.12
1935,453,Rowan-Cabarrus Community College,2.12
913,454,North Dakota State University-Main Campus,2.12
669,455,J Sargeant Reynolds Community College,2.12
1799,456,Northern Kentucky University,2.12
317,457,Inver Hills Community College,2.11
1392,458,Western Nebraska Community College,2.11
153,459,Saint Johns River State College,2.11
1134,460,Clover Park Technical College,2.11
345,461,Montana Tech of the University of Montana,2.11
1124,462,West Virginia University at Parkersburg,2.11
1447,463,Neosho County Community College,2.11
378,464,Marion Technical College,2.11
145,465,Porterville College,2.11
1051,466,Lake Area Technical Institute,2.11
577,467,Southwest Tennessee Community College,2.1
1290,468,Henderson Community College,2.1
1275,469,Louisiana State University-Eunice,2.1
2154,470,University of Wisconsin Colleges,2.1
1469,471,Northeast Mississippi Community College,2.1
1310,472,College of Southern Maryland,2.1
1607,473,Purdue University-North Central Campus,2.1
1461,474,Riverland Community College,2.1
920,475,Miami University-Hamilton,2.1
1975,476,University of South Carolina-Lancaster,2.1
561,477,University of Cincinnati-Clermont College,2.09
2166,478,Green River College,2.09
1513,479,Heartland Community College,2.09
1626,480,Fort Hays State University,2.09
2230,481,South Puget Sound Community College,2.09
853,482,Southwestern College,2.09
951,483,Wilkes Community College,2.09
1296,484,University of Louisiana at Lafayette,2.09
1232,485,Savannah Technical College,2.09
1220,486,Lanier Technical College,2.09
404,487,Mercy College of Ohio,2.09
1903,488,Kent State University at Salem,2.09
1144,489,University of Wyoming,2.09
1638,490,San Diego Mesa College,2.09
1786,491,Southern University at New Orleans,2.09
1470,492,East Central College,2.08
1248,493,Iowa State University,2.08
1218,494,Kaskaskia College,2.08
732,495,Cisco College,2.08
1133,496,Lower Columbia College,2.08
1455,497,Elizabethtown Community and Technical College,2.08
1606,498,Hawkeye Community College,2.07
1906,499,Cuyahoga Community College District,2.07
1783,500,Nunez Community College,2.07
656,501,Northcentral Technical College,2.07
2174,502,Wisconsin Indianhead Technical College,2.07
2040,503,Southwest Mississippi Community College,2.07
1441,504,Bluegrass Community and Technical College,2.07
346,505,Wayne State College,2.07
38,506,Lamar Institute of Technology,2.07
585,507,Cleveland State Community College,2.07
1018,508,Community College of Philadelphia,2.07
64,509,Phoenix College,2.07
1084,510,College of the Mainland,2.07
728,511,Austin Community College District,2.06
1741,512,Mount Wachusett Community College,2.06
1215,513,Kishwaukee College,2.06
1414,514,San Juan College,2.06
1449,515,Washburn Institute of Technology,2.06
2219,516,Virginia Highlands Community College,2.06
1528,517,Jefferson State Community College,2.06
2245,518,University of Utah,2.06
1780,519,Louisiana State University-Shreveport,2.06
243,520,Jefferson Community and Technical College,2.06
1831,521,Itawamba Community College,2.06
246,522,Washburn University,2.06
836,523,University of Arkansas Community College-Morrilton,2.05
132,524,Santa Rosa Junior College,2.05
1123,525,Shepherd University,2.05
435,526,Fulton-Montgomery Community College,2.05
618,527,University of Wisconsin-Oshkosh,2.05
1963,528,Chemeketa Community College,2.05
2225,529,Northeast Texas Community College,2.05
1209,530,Seminole State College of Florida,2.05
1810,531,Jackson College,2.05
961,532,Nash Community College,2.05
542,533,Forsyth Technical Community College,2.05
1412,534,Cayuga County Community College,2.04
2170,535,University of Wisconsin-Stout,2.04
2198,536,American Samoa Community College,2.04
1223,537,Rend Lake College,2.04
608,538,Utah State University,2.04
610,539,Tyler Junior College,2.04
1699,540,North Idaho College,2.04
1237,541,Bainbridge State College,2.04
309,542,Metropolitan Community College-Kansas City,2.04
643,543,Wenatchee Valley College,2.04
248,544,West Kentucky Community and Technical College,2.04
1391,545,Peru State College,2.04
2025,546,University of Nebraska at Omaha,2.04
918,547,Kent State University at Tuscarawas,2.04
1739,548,Massasoit Community College,2.04
2045,549,University of Nevada-Las Vegas,2.04
1842,550,Monroe Community College,2.04
1989,551,Aiken Technical College,2.04
1541,552,California Polytechnic State University-San Luis Obispo,2.04
1413,553,Corning Community College,2.03
93,554,Allan Hancock College,2.03
372,555,Kent State University at East Liverpool,2.03
1152,556,University of Wisconsin-Eau Claire,2.03
2004,557,Minnesota State University-Mankato,2.03
904,558,Pasadena City College,2.03
895,559,Daytona State College,2.03
1602,560,John Wood Community College,2.03
1154,561,Blackhawk Technical College,2.03
445,562,Clinton Community College,2.03
797,563,University of Alaska Fairbanks,2.03
1872,564,SUNY College at Old Westbury,2.03
1249,565,Iowa Western Community College,2.02
1774,566,University of Louisiana at Monroe,2.02
371,567,Kent State University at Trumbull,2.02
653,568,Seattle Central College,2.02
1147,569,University of Wisconsin-La Crosse,2.02
233,570,Holyoke Community College,2.02
1884,571,New Mexico Junior College,2.02
493,572,Delgado Community College,2.02
41,573,Pierce College-Puyallup,2.02
2167,574,Everett Community College,2.02
2133,575,Blue Ridge Community and Technical College,2.02
1705,576,University of Delaware,2.02
1533,577,Arkansas State University-Beebe,2.02
1969,578,Trident Technical College,2.02
1613,579,Southeastern Community College,2.02
1662,580,Red Rocks Community College,2.01
1484,581,Chadron State College,2.01
569,582,Technical College of the Lowcountry,2.01
1170,583,Athens Technical College,2.01
708,584,Columbia Basin College,2.01
2064,585,Terra State Community College,2.01
1858,586,CUNY New York City College of Technology,2.01
1111,587,Latter-day Saints Business College,2.01
31,588,South Louisiana Community College,2.01
318,589,Minnesota State Community and Technical College,2.01
790,590,James H Faulkner State Community College,2.0
512,591,Pennsylvania State University-Penn State Brandywine,2.0
2134,592,River Parishes Community College,2.0
1251,593,Indian Hills Community College,2.0
47,594,California State University-Fullerton,2.0
464,595,Barton County Community College,2.0
1068,596,University of Houston-Downtown,2.0
16,597,University of North Georgia,2.0
111,598,Front Range Community College,2.0
1911,599,Wake Technical Community College,1.99
1833,600,College of Staten Island CUNY,1.99
320,601,Northland Community and Technical College,1.99
1782,602,Louisiana State University-Alexandria,1.99
392,603,Miami University-Middletown,1.99
540,604,Johnston Community College,1.99
224,605,Des Moines Area Community College,1.99
729,606,Houston Community College,1.99
1639,607,Reedley College,1.99
2158,608,Warren County Community College,1.99
1575,609,Oconee Fall Line Technical College,1.99
1813,610,Montcalm Community College,1.99
668,611,Thomas Nelson Community College,1.98
1608,612,Iowa Lakes Community College,1.98
1624,613,South Suburban College,1.98
256,614,Worcester State University,1.98
642,615,Skagit Valley College,1.98
2220,616,Mountain Empire Community College,1.98
1768,617,University of Maryland-College Park,1.98
1823,618,Saint Cloud State University,1.98
1631,619,Shasta College,1.98
494,620,Nicholls State University,1.98
1539,621,South Mountain Community College,1.97
1655,622,National University,1.97
1579,623,University of Florida,1.97
1762,624,MCPHS University,1.97
1778,625,Louisiana Tech University,1.97
955,626,Edgecombe Community College,1.97
1142,627,Caribbean University-Bayamon,1.97
1244,628,City Colleges of Chicago-Harry S Truman College,1.97
640,629,Yakima Valley College,1.97
1977,630,Pennsylvania State University-Penn State Abington,1.97
630,631,University of Wisconsin-River Falls,1.97
1721,632,South Georgia Technical College,1.97
2013,633,Mineral Area College,1.97
1598,634,Prairie State College,1.96
1460,635,South Central College,1.96
1910,636,University of North Dakota,1.96
237,637,Massachusetts Bay Community College,1.96
1107,638,The University of Texas at Tyler,1.96
854,639,Solano Community College,1.96
1576,640,Florida International University,1.96
1733,641,Cowley County Community College,1.96
967,642,University of Central Oklahoma,1.96
1175,643,Harrisburg Area Community College-Harrisburg,1.95
1659,644,Monterey Peninsula College,1.95
2147,645,Tarleton State University,1.95
2087,646,Motlow State Community College,1.95
993,647,Peirce College,1.95
213,648,H Councill Trenholm State Community College,1.95
887,649,Quinebaug Valley Community College,1.95
1191,650,Danville Area Community College,1.95
1045,651,South Dakota State University,1.95
1059,652,Hill College,1.95
1609,653,Marshalltown Community College,1.94
834,654,Eastern Arizona College,1.94
423,655,Ocean County College,1.94
616,656,West Virginia University,1.94
1919,657,University of North Carolina at Charlotte,1.94
310,658,Missouri Southern State University,1.94
485,659,Indiana University-Kokomo,1.94
916,660,Ohio State University-Mansfield Campus,1.94
1952,661,Ohio State University-Newark Campus,1.94
1957,662,Connors State College,1.94
793,663,Central Alabama Community College,1.94
335,664,Minnesota West Community and Technical College,1.94
937,665,SUNY at Binghamton,1.94
1171,666,College of Micronesia-FSM,1.94
1964,667,Southwestern Oklahoma State University,1.94
837,668,Long Beach City College,1.93
1641,669,University of Colorado Colorado Springs,1.93
92,670,University of Arkansas-Fort Smith,1.93
1504,671,University of Washington-Tacoma Campus,1.93
597,672,Texas Tech University,1.93
497,673,Linn-Benton Community College,1.93
1267,674,Emporia State University,1.93
1551,675,Gadsden State Community College,1.93
1294,676,Our Lady of the Lake College,1.93
1097,677,James Madison University,1.93
211,678,University of Alaska Southeast,1.93
1093,679,George Mason University,1.93
1300,680,University of Michigan-Ann Arbor,1.93
411,681,Rutgers University-Newark,1.92
282,682,Fitchburg State University,1.92
2148,683,McLennan Community College,1.92
2007,684,Central Lakes College-Brainerd,1.92
1272,685,University of New Orleans,1.92
1661,686,Napa Valley College,1.92
661,687,Grayson College,1.92
1295,688,Southeastern Louisiana University,1.92
1247,689,Kirkwood Community College,1.92
1151,690,University of Wisconsin-Green Bay,1.92
336,691,Alexandria Technical & Community College,1.92
1851,692,Rutgers University-Camden,1.92
677,693,Southwest Texas Junior College,1.92
102,694,Broward College,1.91
612,695,West Texas A & M University,1.91
