,Rank,school_name,Earnings per Dollar (Cost)
1091,1470,Lubbock Christian University,1.14
2238,1471,Regent University,1.14
1760,1472,Babson College,1.14
365,1473,Monroe College,1.14
575,1474,Southern Adventist University,1.14
1682,1475,Saint Leo University,1.13
1029,1476,Trevecca Nazarene University,1.13
2253,1477,Texas Wesleyan University,1.13
1803,1478,Thomas More College,1.13
1511,1479,EDP University of Puerto Rico Inc-San Juan,1.13
1132,1480,The Evergreen State College,1.13
2236,1481,Wiley College,1.13
1758,1482,Bentley University,1.13
1980,1483,University of Pennsylvania,1.13
69,1484,University of California-Santa Barbara,1.13
2061,1485,Carnegie Mellon University,1.13
2088,1486,Lee University,1.13
1505,1487,Universidad del Turabo,1.13
1165,1488,National University College-Arecibo,1.13
181,1489,Fort Valley State University,1.12
1253,1490,Ashford University,1.12
455,1491,Manhattan College,1.12
1230,1492,Rasmussen College-Florida,1.12
872,1493,Regis University,1.12
764,1494,Louisiana Delta Community College,1.12
1268,1495,Baker University,1.12
1315,1496,Wentworth Institute of Technology,1.12
1610,1497,Grand View University,1.12
1258,1498,ITT Technical Institute-Indianapolis,1.11
1864,1499,Daemen College,1.11
463,1500,Friends University,1.11
2103,1501,Hardin-Simmons University,1.11
1365,1502,Mississippi Valley State University,1.11
635,1503,Universidad Politecnica de Puerto Rico,1.1
1312,1504,Davenport University,1.1
482,1505,Illinois Institute of Technology,1.1
784,1506,Stratford University,1.1
379,1507,Lourdes University,1.1
1866,1508,Stevens Institute of Technology,1.1
2012,1509,Lindenwood University,1.1
221,1510,University of Saint Francis-Fort Wayne,1.1
1787,1511,Xavier University of Louisiana,1.09
2191,1512,Universidad Metropolitana,1.09
89,1513,John Brown University,1.09
1254,1514,Mount Mercy University,1.09
2176,1515,Universidad del Este,1.09
768,1516,National University College-Ponce,1.09
1042,1517,Southern Wesleyan University,1.09
1271,1518,Newman University,1.09
2102,1519,LeTourneau University,1.09
2123,1520,Independence University,1.09
1619,1521,North Park University,1.08
1006,1522,Pioneer Pacific College,1.08
338,1523,Rasmussen College-Minnesota,1.08
818,1524,University of California-Riverside,1.08
1216,1525,Lewis University,1.08
2014,1526,Alcorn State University,1.08
1988,1527,Bryant University,1.08
2,1528,Bob Jones University,1.07
2077,1529,Duquesne University,1.07
1478,1530,The College of Saint Scholastica,1.07
621,1531,Viterbo University,1.07
2109,1532,Lane College,1.07
1979,1533,Misericordia University,1.07
2263,1534,Mech-Tech College,1.07
36,1535,National University College-Rio Grande,1.07
37,1536,Strayer University-Pennsylvania,1.06
2100,1537,University of the Incarnate Word,1.06
776,1538,Strayer University-Tennessee,1.06
2121,1539,Strayer University-Georgia,1.06
369,1540,Rensselaer Polytechnic Institute,1.06
767,1541,Strayer University-North Carolina,1.06
1772,1542,Johns Hopkins University,1.06
923,1543,Mount Saint Joseph University,1.06
2016,1544,Maryville University of Saint Louis,1.06
750,1545,Strayer University-Maryland,1.06
446,1546,Columbia University in the City of New York,1.06
769,1547,Strayer University-Florida,1.06
2185,1548,Lakeland University,1.06
689,1549,Strayer University-Virginia,1.06
5,1550,Strayer University-South Carolina,1.06
2126,1551,Strayer University-Texas,1.06
1430,1552,Trinity Christian College,1.06
1252,1553,Saint Xavier University,1.06
6,1554,Strayer University-Global Region,1.06
2188,1555,Edgewood College,1.05
395,1556,Walsh University,1.05
1531,1557,Faulkner University,1.05
1812,1558,Lawrence Technological University,1.05
770,1559,Southwest University at El Paso,1.05
1190,1560,Benedictine University,1.05
1890,1561,Princeton University,1.05
1923,1562,Case Western Reserve University,1.05
1986,1563,Villanova University,1.05
623,1564,Marquette University,1.05
1629,1565,Humboldt State University,1.05
2071,1566,Oklahoma Christian University,1.04
663,1567,Houston Baptist University,1.04
2110,1568,King University,1.04
1676,1569,Albertus Magnus College,1.04
1072,1570,Texas Southern University,1.04
593,1571,New England Institute of Technology,1.04
684,1572,Rice University,1.04
1611,1573,Upper Iowa University,1.04
1743,1574,Massachusetts College of Art and Design,1.04
1228,1575,Shorter University,1.04
323,1576,Atlantic Cape Community College,1.03
879,1577,Georgetown University,1.03
32,1578,University of California-Merced,1.03
2192,1579,National University College-Bayamon,1.03
2216,1580,Hampton University,1.03
333,1581,Spring Arbor University,1.03
885,1582,Porter and Chester Institute of Stratford,1.03
1865,1583,Dominican College of Blauvelt,1.03
1011,1584,Lancaster Bible College,1.03
1614,1585,William Penn University,1.03
1908,1586,Mount Vernon Nazarene University,1.03
1657,1587,Argosy University-The Art Institute of California-San Diego,1.03
1009,1588,Mount Aloysius College,1.03
849,1589,Mount Saint Mary's University,1.02
117,1590,Yale University,1.02
1882,1591,Adelphi University,1.02
1089,1592,University of Mary Hardin-Baylor,1.02
1194,1593,Keiser University-Ft Lauderdale,1.02
665,1594,East Texas Baptist University,1.02
348,1595,Nebraska Wesleyan University,1.01
2060,1596,Concordia University-Portland,1.01
467,1597,Morningside College,1.01
2221,1598,Texas Lutheran University,1.01
1416,1599,Cornell University,1.01
2051,1600,Gannon University,1.01
1136,1601,Walla Walla University,1.01
444,1602,Clarkson University,1.01
1404,1603,LIM College,1.01
736,1604,Kaplan University-Davenport Campus,1.01
1210,1605,The University of Tampa,1.0
2131,1606,Argosy University-The Art Institute of California-Inland Empire,1.0
1008,1607,Lincoln University,1.0
364,1608,New York Institute of Technology,1.0
1485,1609,Creighton University,1.0
934,1610,Cedarville University,1.0
1845,1611,Saint John Fisher College,1.0
1394,1612,Concordia University-Nebraska,1.0
2108,1613,Lincoln Memorial University,1.0
307,1614,Avila University,1.0
284,1615,Stevenson University,1.0
1615,1616,Saint Ambrose University,0.99
454,1617,Medaille College,0.99
1349,1618,College of Our Lady of the Elms,0.99
226,1619,Drake University,0.99
1719,1620,Chaminade University of Honolulu,0.99
2184,1621,University of Charleston,0.99
1238,1622,Brenau University,0.99
2182,1623,Concordia University-Wisconsin,0.99
39,1624,Embry-Riddle Aeronautical University-Prescott,0.99
103,1625,Embry-Riddle Aeronautical University-Daytona Beach,0.99
1793,1626,Southwestern College,0.99
595,1627,Saint Francis University,0.99
1489,1628,Southwest Baptist University,0.99
520,1629,Harcum College,0.99
525,1630,University of Portland,0.99
1700,1631,Bradley University,0.99
1781,1632,Grambling State University,0.99
1888,1633,College of Mount Saint Vincent,0.99
1843,1634,Rochester Institute of Technology,0.99
501,1635,Linfield College-McMinnville Campus,0.98
1547,1636,University of Mobile,0.98
2152,1637,St. Mary's University,0.98
2107,1638,Cumberland University,0.98
123,1639,University of the Pacific,0.98
1065,1640,Augustana University,0.98
527,1641,Carlow University,0.98
568,1642,University of Sioux Falls,0.98
1450,1643,University of Notre Dame,0.98
1984,1644,Robert Morris University,0.98
258,1645,Andrews University,0.98
2072,1646,Oklahoma Baptist University,0.98
890,1647,Goodwin College,0.97
1901,1648,Caldwell Community College and Technical Institute,0.97
683,1649,University of St Thomas,0.97
1446,1650,Waldorf University,0.97
983,1651,Drexel University,0.97
1436,1652,Marian University,0.97
1101,1653,Liberty University,0.97
1534,1654,Grand Canyon University,0.97
1435,1655,Indiana Institute of Technology,0.97
692,1656,Westminster College,0.97
314,1657,Rockhurst University,0.97
874,1658,Barry University,0.96
294,1659,Merrimack College,0.96
1383,1660,Seton Hall University,0.96
666,1661,Concordia University-Texas,0.96
165,1662,Jacksonville University,0.96
1886,1663,Rivier University,0.96
393,1664,Ohio Northern University,0.96
288,1665,Assumption College,0.96
1887,1666,Mount Saint Mary College,0.96
396,1667,Franciscan University of Steubenville,0.96
2034,1668,Missouri Baptist University,0.96
1211,1669,Southeastern University,0.96
350,1670,Hastings College,0.96
1468,1671,College of the Ozarks,0.96
349,1672,Midland University,0.96
1636,1673,Pacific Union College,0.96
163,1674,Nova Southeastern University,0.96
1262,1675,University of Indianapolis,0.96
1876,1676,Marist College,0.95
556,1677,Elon University,0.95
1174,1678,Bucknell University,0.95
285,1679,Boston College,0.95
208,1680,Samford University,0.95
377,1681,Malone University,0.95
1363,1682,Belhaven University,0.95
1550,1683,Miles College,0.95
1715,1684,Elmhurst College,0.95
1159,1685,Saint Martin's University,0.95
229,1686,Loras College,0.94
84,1687,Fresno Pacific University,0.94
1434,1688,Dominican University,0.94
2076,1689,Lafayette College,0.94
1889,1690,Saint Anselm College,0.94
1503,1691,Argosy University-The Art Institute of California-Hollywood,0.94
2222,1692,Southwestern Assemblies of God University,0.94
2042,1693,Saint Johns University,0.94
1062,1694,Christian Brothers University,0.94
891,1695,Fairfield University,0.94
1375,1696,Southern New Hampshire University,0.94
650,1697,Carroll University,0.94
1225,1698,Northwestern University,0.94
548,1699,Queens University of Charlotte,0.94
856,1700,Santa Clara University,0.94
2058,1701,Cedar Crest College,0.94
681,1702,Our Lady of the Lake University,0.94
1480,1703,Saint Mary's University of Minnesota,0.94
1711,1704,Trinity Washington University,0.94
1472,1705,Concordia University-Saint Paul,0.94
1427,1706,Siena College,0.94
1027,1707,Tusculum College,0.93
1517,1708,Virginia College-Birmingham,0.93
394,1709,Tiffin University,0.93
795,1710,Huntingdon College,0.93
2017,1711,Evangel University,0.93
1466,1712,Carroll College,0.93
701,1713,Trinity University,0.93
1109,1714,Texas Christian University,0.93
268,1715,McKendree University,0.93
473,1716,Dillard University,0.93
1321,1717,Northeastern University,0.93
367,1718,Nyack College,0.93
915,1719,University of Dayton,0.93
820,1720,University of California-Santa Cruz,0.93
1003,1721,Pittsburgh Technical College,0.92
709,1722,Gonzaga University,0.92
448,1723,Felician University,0.92
586,1724,Carson-Newman University,0.92
2009,1725,Bethel University,0.92
553,1726,Baldwin Wallace University,0.92
1053,1727,Wilkes University,0.92
1316,1728,Western New England University,0.92
1343,1729,Endicott College,0.92
1016,1730,Immaculata University,0.92
1025,1731,Lipscomb University,0.92
339,1732,St Catherine University,0.92
228,1733,University of Dubuque,0.92
192,1734,Reinhardt University,0.92
329,1735,Missouri Valley College,0.92
1474,1736,Concordia College at Moorhead,0.91
571,1737,Salve Regina University,0.91
685,1738,Schreiner University,0.91
1545,1739,Ouachita Baptist University,0.91
2050,1740,La Salle University,0.91
1239,1741,Emory University,0.91
1234,1742,Florida Southern College,0.91
401,1743,Muskingum University,0.91
466,1744,Simpson College,0.91
1014,1745,Geneva College,0.91
1877,1746,Iona College,0.91
1506,1747,Vatterott College-Berkeley,0.91
1637,1748,Point Loma Nazarene University,0.91
1371,1749,Monmouth University,0.91
1974,1750,North Greenville University,0.9
884,1751,Quinnipiac University,0.9
924,1752,University of Mount Union,0.9
173,1753,Concordia University-Chicago,0.9
1433,1754,Butler University,0.9
1287,1755,University of Pikeville,0.9
1431,1756,Bethel College-Indiana,0.9
487,1757,Grace College and Theological Seminary,0.9
1007,1758,Neumann University,0.9
255,1759,University of Detroit Mercy,0.89
492,1760,Saint Mary's College,0.89
2175,1761,Saint Norbert College,0.89
1439,1762,Dordt College,0.89
1752,1763,Stonehill College,0.89
1034,1764,The Art Institute of Houston,0.89
2038,1765,Dartmouth College,0.89
1477,1766,University of St Thomas,0.89
587,1767,Freed-Hardeman University,0.89
537,1768,Nazareth College,0.89
1496,1769,Technical Career Institutes,0.89
1473,1770,Hamline University,0.89
1261,1771,Harrison College-Indianapolis,0.89
1052,1772,Saint Joseph's University,0.89
519,1773,La Roche College,0.89
2043,1774,Hope College,0.89
1621,1775,North Central College,0.88
489,1776,Trine University,0.88
858,1777,University of Southern California,0.88
469,1778,Central Christian College of Kansas,0.88
265,1779,Robert Morris University Illinois,0.88
138,1780,Sacred Heart University,0.88
53,1781,Azusa Pacific University,0.88
286,1782,American International College,0.88
1302,1783,Cornerstone University,0.88
227,1784,Graceland University-Lamoni,0.88
1937,1785,The University of Findlay,0.88
518,1786,King's College,0.88
389,1787,St. Thomas Aquinas College,0.88
167,1788,Palm Beach Atlantic University,0.88
1773,1789,Mount St Mary's University,0.88
122,1790,San Joaquin Valley College-Visalia,0.88
509,1791,Alvernia University,0.87
696,1792,Eastern Mennonite University,0.87
996,1793,Xavier University,0.87
1002,1794,Philadelphia University,0.87
312,1795,Webster University,0.87
1697,1796,Point University,0.87
1035,1797,Vanderbilt University,0.87
2113,1798,McCann School of Business & Technology,0.87
490,1799,Valparaiso University,0.87
1184,1800,DePaul University,0.87
1928,1801,Gardner-Webb University,0.87
1973,1802,Limestone College,0.87
1708,1803,George Washington University,0.87
1714,1804,University of Chicago,0.87
1348,1805,Simmons College,0.87
292,1806,Suffolk University,0.87
471,1807,University of the Cumberlands,0.87
370,1808,Niagara University,0.87
441,1809,Keuka College,0.87
1707,1810,Wesley College,0.87
2024,1811,Washington University in St Louis,0.86
1376,1812,Berkeley College-Woodland Park,0.86
1347,1813,Tufts University,0.86
1499,1814,Wagner College,0.86
257,1815,Calvin College,0.86
1818,1816,Augsburg College,0.86
1800,1817,Sullivan University,0.86
529,1818,Elizabethtown College,0.86
1635,1819,University of San Diego,0.86
960,1820,Ohio Christian University,0.86
878,1821,Catholic University of America,0.86
450,1822,Caldwell University,0.86
921,1823,Ohio Dominican University,0.86
875,1824,Howard University,0.86
949,1825,Wingate University,0.86
1704,1826,Northwest Nazarene University,0.86
2059,1827,DeSales University,0.86
1847,1828,The Sage Colleges,0.86
958,1829,John Carroll University,0.85
1036,1830,Charleston Southern University,0.85
596,1831,Brown University,0.85
1594,1832,University of Evansville,0.85
468,1833,Benedictine College,0.85
269,1834,Olivet Nazarene University,0.85
1479,1835,University of Northwestern-St Paul,0.85
1245,1836,Augustana College,0.85
2229,1837,Seattle University,0.85
672,1838,The Art Institute of Seattle,0.85
1386,1839,Fairleigh Dickinson University-Metropolitan Campus,0.85
1038,1840,Widener University,0.85
798,1841,Tuskegee University,0.85
488,1842,Buena Vista University,0.84
718,1843,South Carolina State University,0.84
678,1844,Saint Edward's University,0.84
1596,1845,Loyola University Chicago,0.84
79,1846,Claremont McKenna College,0.84
1616,1847,Wartburg College,0.84
725,1848,Abilene Christian University,0.84
222,1849,Manchester University,0.84
1389,1850,Centenary University,0.84
1428,1851,Roberts Wesleyan College,0.84
1488,1852,Drury University,0.84
1998,1853,Moravian College,0.84
679,1854,Southern Methodist University,0.84
1346,1855,College of the Holy Cross,0.84
1180,1856,Lebanon Valley College,0.84
1645,1857,University of Denver,0.84
808,1858,California Baptist University,0.84
1337,1859,Bay Path University,0.84
1338,1860,Loyola University Maryland,0.84
1054,1861,Roger Williams University,0.84
119,1862,University of San Francisco,0.84
1838,1863,Berkeley College-New York,0.84
1748,1864,Springfield College,0.84
827,1865,University of La Verne,0.84
988,1866,Eastern University,0.84
402,1867,Notre Dame College,0.84
1879,1868,Le Moyne College,0.84
1491,1869,Saint Louis University,0.83
1415,1870,Canisius College,0.83
1968,1871,George Fox University,0.83
1222,1872,Millikin University,0.83
451,1873,Georgian Court University,0.83
1055,1874,University of Scranton,0.83
2239,1875,Union University,0.83
1933,1876,North Carolina Wesleyan College,0.83
930,1877,University of Rio Grande,0.83
1075,1878,Champlain College,0.83
1848,1879,St Bonaventure University,0.82
1411,1880,Culinary Institute of America,0.82
1444,1881,Asbury University,0.82
362,1882,Pace University-New York,0.82
676,1883,Washington and Lee University,0.82
1597,1884,The Illinois Institute of Art-Chicago,0.82
876,1885,The Art Institute of Fort Lauderdale,0.82
1897,1886,Campbell University,0.82
753,1887,Uta Mesivta of Kiryas Joel,0.82
936,1888,Meredith College,0.82
975,1889,Oklahoma City University,0.82
1010,1890,Messiah College,0.82
1943,1891,Wake Forest University,0.82
1622,1892,Central College,0.82
486,1893,Anderson University,0.82
687,1894,Shenandoah University,0.82
1481,1895,College of Saint Benedict,0.82
1318,1896,Aquinas College,0.82
2217,1897,Virginia Union University,0.82
974,1898,Oral Roberts University,0.81
1438,1899,Coe College,0.81
555,1900,Belmont Abbey College,0.81
552,1901,Ashland University,0.81
2065,1902,Otterbein University,0.81
2262,1903,Florida National University-Main Campus,0.81
2000,1904,Westminster College,0.81
1004,1905,University of Tulsa,0.81
1179,1906,Keystone College,0.81
1996,1907,Seton Hill University,0.81
1026,1908,Belmont University,0.81
1013,1909,Muhlenberg College,0.81
1326,1910,Curry College,0.81
1987,1911,Providence College,0.81
470,1912,Campbellsville University,0.81
1650,1913,Colorado Christian University,0.81
2235,1914,Bridgewater College,0.81
1706,1915,Bethune-Cookman University,0.81
1644,1916,The Art Institute of Colorado,0.81
280,1917,Saint Joseph's College of Maine,0.81
1600,1918,Roosevelt University,0.81
483,1919,Illinois Wesleyan University,0.8
440,1920,LIU Brooklyn,0.8
1654,1921,Woodbury University,0.8
189,1922,Mercer University,0.8
980,1923,Albright College,0.8
434,1924,Dowling College,0.8
545,1925,Shaw University,0.8
1475,1926,Gustavus Adolphus College,0.8
272,1927,Wheaton College,0.8
1532,1928,Spring Hill College,0.8
722,1929,Baylor University,0.8
727,1930,Austin College,0.8
953,1931,Lenoir-Rhyne University,0.8
1993,1932,Anderson University,0.8
1442,1933,Bellarmine University,0.8
2211,1934,Norwich University,0.8
1582,1935,University of Miami,0.8
1066,1936,Wofford College,0.8
1564,1937,Concordia University-Irvine,0.8
1742,1938,Nichols College,0.8
652,1939,Seattle Pacific University,0.8
1883,1940,Saint Peter's University,0.79
1583,1941,AI Miami International University of Art and Design,0.79
1426,1942,The College of Saint Rose,0.79
533,1943,United Talmudical Seminary,0.79
526,1944,Cabrini University,0.79
1999,1945,Saint Vincent College,0.79
1420,1946,Alfred University,0.79
883,1947,American University,0.79
1584,1948,Florida Memorial University,0.79
1410,1949,Fordham University,0.79
1233,1950,Florida Institute of Technology,0.79
118,1951,Trinity College,0.79
281,1952,Boston University,0.79
1406,1953,Hamilton College,0.79
415,1954,Rider University,0.78
297,1955,Hood College,0.78
2227,1956,Pacific Lutheran University,0.78
461,1957,New York University,0.78
239,1958,Lasell College,0.78
868,1959,The Master's University and Seminary,0.78
1767,1960,Adrian College,0.78
125,1961,Loyola Marymount University,0.78
1500,1962,Union College,0.78
538,1963,High Point University,0.78
1898,1964,Syracuse University,0.78
1153,1965,Carthage College,0.78
1418,1966,Colgate University,0.78
1922,1967,Capital University,0.78
573,1968,Washington & Jefferson College,0.78
1985,1969,Point Park University,0.78
1226,1970,Monmouth College,0.78
140,1971,Post University,0.77
688,1972,Lynchburg College,0.77
1058,1973,Susquehanna University,0.77
959,1974,Marietta College,0.77
1105,1975,University of Richmond,0.77
528,1976,Chestnut Hill College,0.77
1634,1977,Pepperdine University,0.77
882,1978,University of New Haven,0.77
40,1979,Johnson & Wales University-Denver,0.77
1402,1980,Hofstra University,0.77
1344,1981,Gordon College,0.76
1502,1982,Johnson & Wales University-North Miami,0.76
382,1983,St John's University-New York,0.76
1451,1984,DePauw University,0.76
1950,1985,Davidson College,0.76
479,1986,Lincoln College,0.76
238,1987,Mount Ida College,0.76
491,1988,Taylor University,0.76
1235,1989,Full Sail University,0.76
439,1990,LIU Post,0.76
289,1991,McDaniel College,0.76
1994,1992,Claflin University,0.76
1668,1993,Vanguard University of Southern California,0.76
1931,1994,Catawba College,0.76
397,1995,Wilmington College,0.75
777,1996,Johnson & Wales University-Charlotte,0.75
880,1997,University of Hartford,0.75
1076,1998,Saint Michael's College,0.75
807,1999,Academy of Art University,0.75
1292,2000,Tulane University of Louisiana,0.75
1351,2001,Albion College,0.75
1753,2002,Becker College,0.75
2075,2003,Marywood University,0.75
1744,2004,Regis College,0.75
1899,2005,Utica College,0.75
1217,2006,Kendall College,0.75
193,2007,Young Harris College,0.75
1240,2008,Oglethorpe University,0.75
1387,2009,Bloomfield College,0.75
1543,2010,Biola University,0.74
1424,2011,Barnard College,0.74
230,2012,Luther College,0.74
1126,2013,West Virginia Wesleyan College,0.74
1656,2014,La Sierra University,0.74
1320,2015,Alma College,0.74
945,2016,Chowan University,0.74
1763,2017,Emmanuel College,0.74
1797,2018,Anna Maria College,0.74
1757,2019,Clark University,0.74
1169,2020,Vista College,0.74
1784,2021,Berea College,0.74
714,2022,Johnson & Wales University-Providence,0.74
644,2023,Whitworth University,0.74
2052,2024,Gettysburg College,0.74
515,2025,Mercyhurst University,0.74
2074,2026,Lycoming College,0.74
1099,2027,Mary Baldwin University,0.73
1695,2028,Berry College,0.73
539,2029,Johnson C Smith University,0.73
324,2030,Franklin Pierce University,0.73
298,2031,Bowdoin College,0.73
1219,2032,Lake Forest College,0.73
2218,2033,Virginia Wesleyan College,0.73
321,2034,St Olaf College,0.73
690,2035,Randolph-Macon College,0.73
2078,2036,Delaware Valley University,0.73
1790,2037,Colby College,0.73
809,2038,California Lutheran University,0.73
535,2039,Yeshiva University,0.73
1452,2040,Hanover College,0.73
1552,2041,Birmingham Southern College,0.73
812,2042,Chapman University,0.73
1630,2043,University of Redlands,0.73
360,2044,Mars Hill University,0.72
541,2045,Livingstone College,0.72
1231,2046,Spelman College,0.72
579,2047,Maryville College,0.72
1162,2048,Roanoke College,0.72
1691,2049,The Art Institute of Atlanta,0.72
184,2050,Clark Atlanta University,0.72
1283,2051,University of New England,0.72
1667,2052,Saint Mary's College of California,0.72
1878,2053,Ithaca College,0.72
2226,2054,Southwestern University,0.72
457,2055,Manhattanville College,0.72
1341,2056,Amherst College,0.72
828,2057,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,0.72
816,2058,Dominican University of California,0.72
2137,2059,Fairleigh Dickinson University-Florham Campus,0.72
388,2060,University of Rochester,0.71
1278,2061,Centre College,0.71
1736,2062,Lindsey Wilson College,0.71
1319,2063,College for Creative Studies,0.71
508,2064,The Art Institute of Philadelphia,0.71
2105,2065,University of Dallas,0.71
1930,2066,Miller-Motte College-Wilmington,0.71
1017,2067,Franklin and Marshall College,0.71
1173,2068,Dickinson College,0.7
1276,2069,Loyola University New Orleans,0.7
55,2070,Art Center College of Design,0.7
698,2071,Middlebury College,0.7
2209,2072,American National University,0.7
521,2073,Juniata College,0.7
2091,2074,Sewanee-The University of the South,0.7
578,2075,Rhodes College,0.7
1043,2076,Columbia College,0.7
1185,2077,Columbia College Chicago,0.69
478,2078,Bates College,0.69
296,2079,Washington College,0.69
1352,2080,Wellesley College,0.69
437,2081,Elmira College,0.68
287,2082,Emerson College,0.68
139,2083,University of Bridgeport,0.68
2079,2084,Bryn Mawr College,0.68
1345,2085,Brandeis University,0.68
1880,2086,Marymount Manhattan College,0.67
1325,2087,Fisher College,0.67
1354,2088,Williams College,0.67
694,2089,Ferrum College,0.67
862,2090,Westmont College,0.67
2039,2091,Colby-Sawyer College,0.67
2067,2092,Wittenberg University,0.67
1653,2093,Whittier College,0.66
1398,2094,The College of New Rochelle,0.66
982,2095,Allegheny College,0.66
981,2096,Arcadia University,0.66
1005,2097,Pacific University,0.66
893,2098,Connecticut College,0.66
1405,2099,Hobart William Smith Colleges,0.66
1929,2100,Guilford College,0.66
1995,2101,Furman University,0.66
1927,2102,Methodist University,0.66
442,2103,Hartwick College,0.66
106,2104,Lynn University,0.65
406,2105,Columbus College of Art and Design,0.65
1939,2106,Denison University,0.65
713,2107,Everest University-South Orlando,0.65
654,2108,University of Puget Sound,0.65
580,2109,Ursinus College,0.64
857,2110,Pomona College,0.64
1723,2111,Rollins College,0.64
1212,2112,Stetson University,0.64
1379,2113,New England College,0.63
1399,2114,Pratt Institute-Main,0.63
792,2115,Oakwood University,0.63
1750,2116,Wheaton College,0.63
503,2117,Lewis & Clark College,0.63
1429,2118,Skidmore College,0.63
240,2119,Lesley University,0.62
1849,2120,St Lawrence University,0.62
572,2121,Rhode Island School of Design,0.62
343,2122,Carleton College,0.62
191,2123,Morehouse College,0.62
886,2124,Wesleyan University,0.62
534,2125,School of Visual Arts,0.61
2068,2126,The College of Wooster,0.61
368,2127,The New School,0.61
900,2128,Eckerd College,0.61
405,2129,Kenyon College,0.61
1336,2130,Kalamazoo College,0.61
2201,2131,Beloit College,0.61
2080,2132,Willamette University,0.6
2259,2133,ASA College,0.6
1992,2134,Benedict College,0.59
1440,2135,Grinnell College,0.59
2053,2136,Haverford College,0.59
2066,2137,Ohio Wesleyan University,0.58
581,2138,Swarthmore College,0.58
1948,2139,Vassar College,0.58
484,2140,Knox College,0.58
646,2141,Whitman College,0.57
1156,2142,Lawrence University,0.57
295,2143,Mount Holyoke College,0.57
1679,2144,Occidental College,0.57
101,2145,Colorado College,0.56
1350,2146,Smith College,0.56
1227,2147,Savannah College of Art and Design,0.55
1570,2148,Hendrix College,0.55
1755,2149,Dean College,0.55
452,2150,Drew University,0.55
1476,2151,Macalester College,0.54
1340,2152,Goucher College,0.53
810,2153,California College of the Arts,0.52
1198,2154,Ringling College of Art and Design,0.52
1339,2155,Maryland Institute College of Art,0.51
2081,2156,Reed College,0.47
458,2157,American Musical and Dramatic Academy,0.47
943,2158,Sarah Lawrence College,0.46
1703,2159,School of the Art Institute of Chicago,0.45
594,2160,The University of the Arts,0.44
403,2161,Oberlin College,0.44
459,2162,Bard College,0.42
1756,2163,Berklee College of Music,0.36
290,2164,Hampshire College,0.33
